mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M2,50,60,mainshock_window,2.0,419,7,411,True
M2,50,60,mainshock_window,2.5,193,3,189,True
M2,50,60,stratified,,664,8,655,True
M2,50,60,stratified,1.2,441,2,438,True
M2,50,60,stratified,1.5,288,0,287,True
M2,50,60,stratified,2.0,153,0,152,True
M2,50,60,stratified,2.5,68,0,67,True
M2,50,90,all,,2370,91,2278,True
M2,50,90,all,1.2,1589,49,1539,True
M2,50,90,all,1.5,980,28,951,True
M2,50,90,all,2.0,452,8,443,True
M2,50,90,all,2.5,207,3,203,True
M2,50,90,mainshock_window,,2337,87,2249,True
M2,50,90,mainshock_window,1.2,1558,46,1511,True
M2,50,90,mainshock_window,1.5,959,26,932,True
M2,50,90,mainshock_window,2.0,443,8,434,True
M2,50,90,mainshock_window,2.5,201,3,197,True
M2,50,90,stratified,,713,11,701,True
M2,50,90,stratified,1.2,465,2,462,True
M2,50,90,stratified,1.5,303,0,302,True
M2,50,90,stratified,2.0,164,0,163,True
M2,50,90,stratified,2.5,74,0,73,True
M2,80,7,all,,3320,18,3301,False
M2,80,7,all,1.2,2902,12,2889,False
M2,80,7,all,1.5,2176,9,2166,False
M2,80,7,all,2.0,1092,4,1087,False
M2,80,7,all,2.5,508,2,505,False
M2,80,7,mainshock_window,,2909,16,2892,False
M2,80,7,mainshock_window,1.2,2500,10,2489,False
M2,80,7,mainshock_window,1.5,1834,9,1824,False
M2,80,7,mainshock_window,2.0,942,4,937,False
M2,80,7,mainshock_window,2.5,468,2,465,False
M2,80,7,stratified,,374,5,368,False
M2,80,7,stratified,1.2,285,2,282,False
M2,80,7,stratified,1.5,196,2,193,False
M2,80,7,stratified,2.0,105,2,102,False
M2,80,7,stratified,2.5,51,1,49,False
M2,80,30,all,,5864,115,5748,True
M2,80,30,all,1.2,4854,66,4787,True
M2,80,30,all,1.5,3394,38,3355,True
M2,80,30,all,2.0,1489,18,1470,True
M2,80,30,all,2.5,637,7,629,True
M2,80,30,mainshock_window,,4967,111,4855,True
M2,80,30,mainshock_window,1.2,3989,63,3925,True
M2,80,30,mainshock_window,1.5,2717,37,2679,True
M2,80,30,mainshock_window,2.0,1255,18,1236,True
M2,80,30,mainshock_window,2.5,585,7,577,True
M2,80,30,stratified,,586,14,571,True
M2,80,30,stratified,1.2,409,8,400,True
M2,80,30,stratified,1.5,274,5,268,True
M2,80,30,stratified,2.0,150,5,144,True
M2,80,30,stratified,2.5,68,2,65,True
M2,80,60,all,,7110,198,6911,True
M2,80,60,all,1.2,5756,121,5634,True
M2,80,60,all,1.5,3953,66,3886,True
M2,80,60,all,2.0,1663,29,1633,True
M2,80,60,all,2.5,698,9,688,True
M2,80,60,mainshock_window,,6030,192,5837,True
M2,80,60,mainshock_window,1.2,4723,117,4605,True
M2,80,60,mainshock_window,1.5,3151,65,3085,True
M2,80,60,mainshock_window,2.0,1403,29,1373,True
M2,80,60,mainshock_window,2.5,640,9,630,True
M2,80,60,stratified,,731,22,708,True
M2,80,60,stratified,1.2,492,10,481,True
M2,80,60,stratified,1.5,332,6,325,True
M2,80,60,stratified,2.0,181,5,175,True
M2,80,60,stratified,2.5,84,2,81,True
M2,80,90,all,,7813,265,7547,True
M2,80,90,all,1.2,6277,164,6112,True
M2,80,90,all,1.5,4307,96,4210,True
M2,80,90,all,2.0,1794,43,1750,True
M2,80,90,all,2.5,745,16,728,True
M2,80,90,mainshock_window,,6594,258,6335,True
M2,80,90,mainshock_window,1.2,5114,159,4954,True
M2,80,90,mainshock_window,1.5,3405,94,3310,True
M2,80,90,mainshock_window,2.0,1498,43,1454,True
M2,80,90,mainshock_window,2.5,674,16,657,True
M2,80,90,stratified,,807,32,774,True
M2,80,90,stratified,1.2,537,17,519,True
M2,80,90,stratified,1.5,363,12,350,True
M2,80,90,stratified,2.0,205,11,193,True
M2,80,90,stratified,2.5,96,4,91,True
M2,100,7,all,,3511,43,3467,False
M2,100,7,all,1.2,3070,26,3043,False
M2,100,7,all,1.5,2299,19,2279,False
M2,100,7,all,2.0,1155,7,1147,False
M2,100,7,all,2.5,538,4,533,False
M2,100,7,mainshock_window,,3029,31,2997,False
M2,100,7,mainshock_window,1.2,2609,22,2586,False
M2,100,7,mainshock_window,1.5,1915,18,1896,False
M2,100,7,mainshock_window,2.0,983,6,976,False
M2,100,7,mainshock_window,2.5,490,3,486,False
M2,100,7,stratified,,378,8,369,False
M2,100,7,stratified,1.2,289,5,283,False
M2,100,7,stratified,1.5,200,5,194,False
M2,100,7,stratified,2.0,107,3,103,False
M2,100,7,stratified,2.5,52,2,49,False
M2,100,30,all,,6184,158,6025,True
M2,100,30,all,1.2,5121,93,5027,True
M2,100,30,all,1.5,3582,56,3525,True
M2,100,30,all,2.0,1586,25,1560,True
M2,100,30,all,2.5,687,11,675,True
M2,100,30,mainshock_window,,5199,143,5055,True
M2,100,30,mainshock_window,1.2,4184,88,4095,True
M2,100,30,mainshock_window,1.5,2855,54,2800,True
M2,100,30,mainshock_window,2.0,1329,24,1304,True
M2,100,30,mainshock_window,2.5,627,10,616,True
M2,100,30,stratified,,595,17,577,True
M2,100,30,stratified,1.2,416,11,404,True
M2,100,30,stratified,1.5,280,8,271,True
M2,100,30,stratified,2.0,154,6,147,True
M2,100,30,stratified,2.5,70,3,66,True
