node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,along_km,across_km,along_bin
1989,-1.0,-3.0,568,128,1.9990625,0.8615885567826447,0.8687360830269691,0.07682813147416197,0.735117916252736,1.0270376259559841,robust,1.0,post_separator,5.0,-117.5546250715448,35.69442853538789,9.073425036892338,3.4661780679422907,"(9.0, 10.0]"
1932,-2.0,-4.0,307,72,2.014861111111111,0.835404827599095,0.8588157500563688,0.12169232070948764,0.6506453542319691,1.1096239424071728,moderately_uncertain,1.0,post_separator,5.0,-117.56567105900254,35.68541421016351,9.153564423459379,4.878119171076787,"(9.0, 10.0]"
2275,5.0,2.0,381,89,2.008876404494382,0.8451341180581485,0.8543988872108267,0.08186521884458633,0.7062861170013506,1.0219245434396167,moderately_uncertain,1.0,post_separator,5.0,-117.48830312108099,35.739480166537305,9.338628962340866,-4.3395676925809585,"(9.0, 10.0]"
2218,4.0,1.0,586,133,1.979248120300752,0.8968428863152316,0.909037208574081,0.0838792137587636,0.7548383258661803,1.0887018870227216,robust,1.0,post_separator,5.0,-117.49936279636678,35.7304720011248,9.418768348907905,-2.9276265894464624,"(9.0, 10.0]"
2161,3.0,0.0,757,179,1.9958659217877095,0.8670873042293467,0.8768442949980125,0.07224198880922161,0.7528486112560164,1.0214225541607802,robust,1.0,post_separator,5.0,-117.510419980556,35.72146280546531,9.498907735474946,-1.5156854863119653,"(9.0, 10.0]"
2104,2.0,-1.0,851,203,1.9970935960591132,0.8649671800476835,0.8702329463419771,0.06707935281078356,0.7336815675260087,1.01336843446603,robust,1.0,post_separator,5.0,-117.52147467475322,35.712452580121116,9.579047122041986,-0.10374438317746915,"(9.0, 10.0]"
2047,1.0,-2.0,827,201,2.009900497512438,0.8434532186342683,0.8548297435655844,0.0618271991938771,0.7464805002372806,0.9842431077761506,robust,1.0,post_separator,5.0,-117.53252688006282,35.70344132565421,9.659186508609025,1.308196719957027,"(9.0, 10.0]"
1990,0.0,-3.0,723,172,1.9691279069767442,0.9159859091031184,0.9202219086482821,0.07302519489667467,0.7867861612393411,1.0812689491462406,robust,1.0,post_separator,5.0,-117.54357659758901,35.69442904262632,9.739325895176066,2.7201378230915227,"(9.0, 10.0]"
1933,-1.0,-4.0,518,117,1.958205128205128,0.9375856514933201,0.9413485027734309,0.09985518871782433,0.7682743207889001,1.157922182588987,robust,1.0,post_separator,5.0,-117.55462382843564,35.685415731598866,9.819465281743106,4.1320789262260185,"(9.0, 10.0]"
2219,5.0,1.0,472,102,1.9666666666666663,0.920765686013962,0.9296621985016891,0.0904794223443771,0.7795479628400267,1.1206175598967665,robust,1.0,post_separator,5.0,-117.48830934816517,35.730467432618525,10.084669207191634,-3.6736668342972303,"(10.0, 11.0]"
