time,latitude,longitude,depth_km,magnitude,event_id,phase,pre_M1_sensitivity
2020-01-04 09:07:57.050,42.4,144.585,46.0,1.3,223,pre_M1_reference,pre_M1_reference_7d
2020-01-04 09:16:55.180,42.815,145.266,48.0,1.5,224,pre_M1_reference,pre_M1_reference_7d
2020-01-04 09:28:54.110,38.921,140.851,10.2,0.2,225,pre_M1_reference,pre_M1_reference_7d
2020-01-04 09:40:12.660,38.709,142.21,41.0,0.9,226,pre_M1_reference,pre_M1_reference_7d
2020-01-04 09:43:36.570,39.494,140.987,12.4,0.3,227,pre_M1_reference,pre_M1_reference_7d
2020-01-04 09:47:38.440,40.195,142.27,32.4,1.2,228,pre_M1_reference,pre_M1_reference_7d
2020-01-04 09:54:17.690,42.514,142.907,63.4,0.2,229,pre_M1_reference,pre_M1_reference_7d
2020-01-04 10:08:05.630,40.38,141.936,42.1,0.7,230,pre_M1_reference,pre_M1_reference_7d
2020-01-04 10:20:55.630,42.542,142.586,42.7,0.2,231,pre_M1_reference,pre_M1_reference_7d
2020-01-04 10:45:27.750,39.039,141.915,60.2,1.4,232,pre_M1_reference,pre_M1_reference_7d
2020-01-04 10:56:37.100,42.31,144.634,52.0,1.5,233,pre_M1_reference,pre_M1_reference_7d
2020-01-04 11:22:48.960,38.321,141.516,18.9,0.7,234,pre_M1_reference,pre_M1_reference_7d
2020-01-04 12:46:35.410,39.716,142.661,33.1,1.6,235,pre_M1_reference,pre_M1_reference_7d
2020-01-04 13:22:12.190,38.787,141.59,71.6,0.2,236,pre_M1_reference,pre_M1_reference_7d
2020-01-04 13:26:29.920,41.962,142.281,75.8,0.6,237,pre_M1_reference,pre_M1_reference_7d
2020-01-04 13:28:02.050,38.709,141.592,52.9,0.4,238,pre_M1_reference,pre_M1_reference_7d
2020-01-04 13:52:31.400,38.397,142.33,29.1,1.0,239,pre_M1_reference,pre_M1_reference_7d
2020-01-04 13:53:47.830,39.032,140.776,8.3,0.1,240,pre_M1_reference,pre_M1_reference_7d
2020-01-04 14:06:51.490,41.485,141.006,10.0,0.1,241,pre_M1_reference,pre_M1_reference_7d
2020-01-04 14:18:26.090,38.405,142.309,34.1,1.3,242,pre_M1_reference,pre_M1_reference_7d
2020-01-04 14:49:44.320,38.169,142.394,35.8,2.1,243,pre_M1_reference,pre_M1_reference_7d
2020-01-04 14:53:20.710,39.301,144.225,35.0,2.3,244,pre_M1_reference,pre_M1_reference_7d
2020-01-04 15:23:26.410,38.158,142.376,28.1,1.1,245,pre_M1_reference,pre_M1_reference_7d
