interval_id,geometry_type,component_id,vertex_id,longitude,latitude,elapsed_mid_hr
M_15,alpha,4,29,-117.51149906918567,35.721514795185044,14.5
M_15,alpha,4,30,-117.50806463395932,35.71548879518506,14.5
M_15,alpha,4,31,-117.49581601940277,35.706976795185035,14.5
M_15,alpha,4,32,-117.49208881643638,35.70416479518505,14.5
M_15,alpha,4,33,-117.48001133280863,35.69746279518505,14.5
M_15,alpha,4,34,-117.47196392101975,35.70561379518505,14.5
M_15,alpha,4,35,-117.47572335863846,35.69782079518506,14.5
M_15,alpha,4,36,-117.46257959288366,35.687204795185046,14.5
M_15,alpha,4,37,-117.46964342890737,35.684930795185046,14.5
M_15,alpha,4,38,-117.47823582198028,35.67651179518504,14.5
M_15,alpha,4,39,-117.4787406999621,35.67481879518505,14.5
M_15,alpha,4,40,-117.48143412064108,35.66677879518505,14.5
M_15,alpha,4,41,-117.4840785231872,35.67236579518505,14.5
M_15,alpha,4,42,-117.49877679942094,35.67619879518506,14.5
M_15,alpha,4,43,-117.5022347254748,35.67517279518505,14.5
M_15,alpha,4,44,-117.50732945336229,35.67139679518504,14.5
M_15,alpha,4,45,-117.5130658286899,35.66272579518505,14.5
M_15,alpha,4,46,-117.51417256228954,35.659026795185035,14.5
M_15,alpha,4,47,-117.51399327815402,35.655080795185036,14.5
M_15,alpha,4,48,-117.52367722804358,35.65438479518505,14.5
M_15,alpha,4,49,-117.52924323005946,35.65441279518505,14.5
M_15,alpha,4,50,-117.53806426713524,35.641033795185045,14.5
M_15,alpha,4,51,-117.55026290800984,35.63604179518505,14.5
