event_id,origin_time,latitude,longitude,depth_km,magnitude,region,npicks
216,2025-06-02T15:22:16.560000Z,39.807000,144.113667,45.470,1.30,FAR E OFF SANRIKU,24
217,2025-06-02T15:28:37.310000Z,39.660667,142.592333,29.460,0.90,E OFF IWATE PREF,12
218,2025-06-02T15:43:03.850000Z,41.685500,143.794833,15.710,1.40,SE OFF ERIMOMISAKI,21
219,2025-06-02T16:33:25.590000Z,41.703167,143.715167,7.170,1.20,SE OFF ERIMOMISAKI,18
220,2025-06-02T16:34:38.670000Z,39.851667,141.004500,4.510,0.60,NORTHERN IWATE PREF,22
221,2025-06-02T17:15:20.860000Z,42.306167,144.494500,16.350,1.20,SE OFF TOKACHI,13
222,2025-06-02T17:29:12.300000Z,38.886333,141.973667,44.170,0.50,KINKAZAN REGION,19
223,2025-06-02T17:45:54.560000Z,39.518500,142.151333,42.280,1.00,E OFF IWATE PREF,27
224,2025-06-02T17:47:22.470000Z,41.691333,143.790167,15.370,1.80,SE OFF ERIMOMISAKI,23
225,2025-06-02T17:49:53.580000Z,40.893000,143.218500,16.390,0.90,E OFF AOMORI PREF,11
226,2025-06-02T17:55:21.340000Z,42.330167,144.470000,16.650,1.50,SE OFF TOKACHI,15
227,2025-06-02T18:01:35.950000Z,42.316167,144.499833,10.290,1.30,SE OFF TOKACHI,14
228,2025-06-02T18:36:14.110000Z,42.294833,144.423167,11.000,1.00,SE OFF TOKACHI,15
229,2025-06-02T18:46:48.920000Z,39.866000,142.414667,13.000,1.60,E OFF IWATE PREF,32
230,2025-06-02T19:27:14.890000Z,42.311167,144.490500,17.870,1.20,SE OFF TOKACHI,18
231,2025-06-02T19:41:26.000000Z,41.746667,143.836000,17.160,1.60,SE OFF ERIMOMISAKI,23
232,2025-06-02T19:58:04.910000Z,42.273833,142.484333,14.750,0.50,S OFF URAKAWA,10
233,2025-06-02T20:27:59.740000Z,41.795000,141.510167,107.730,1.00,S OFF TOMAKOMAI,10
234,2025-06-02T20:29:36.520000Z,42.331500,142.527667,13.880,0.60,HIDAKA REGION,9
235,2025-06-02T20:37:25.180000Z,42.336167,144.465500,8.820,1.50,SE OFF TOKACHI,13
236,2025-06-02T20:39:00.090000Z,39.759833,141.835000,57.030,1.20,NORTHERN IWATE PREF,32
237,2025-06-02T21:05:03.230000Z,41.071167,143.107333,23.690,0.70,E OFF AOMORI PREF,8
238,2025-06-02T21:49:03.480000Z,41.706167,143.736167,21.270,1.40,SE OFF ERIMOMISAKI,21
239,2025-06-02T21:52:45.850000Z,42.276833,144.490667,15.440,1.60,SE OFF TOKACHI,13
240,2025-06-02T21:54:14.380000Z,39.866833,141.009667,4.600,0.40,NORTHERN IWATE PREF,8
241,2025-06-02T21:55:50.270000Z,42.321667,144.494667,17.860,1.40,SE OFF TOKACHI,9
242,2025-06-02T22:02:43.800000Z,39.536000,144.158833,46.510,0.80,FAR E OFF SANRIKU,16
243,2025-06-02T22:34:47.260000Z,42.404167,143.795167,52.160,0.60,SE OFF TOKACHI,11
244,2025-06-02T23:07:18.860000Z,41.592833,142.705667,17.860,1.20,E OFF AOMORI PREF,19
245,2025-06-02T23:48:14.130000Z,41.688833,143.802000,19.550,1.60,SE OFF ERIMOMISAKI,20
246,2025-06-03T00:05:05.290000Z,39.853500,141.000500,4.600,1.20,NORTHERN IWATE PREF,27
247,2025-06-03T00:12:30.040000Z,39.919333,142.391833,37.530,2.80,E OFF IWATE PREF,38
248,2025-06-03T00:23:28.780000Z,41.992167,141.531833,86.510,1.00,S OFF TOMAKOMAI,8
249,2025-06-03T00:38:07.360000Z,38.763667,141.960333,53.210,0.70,KINKAZAN REGION,16
250,2025-06-03T01:36:48.010000Z,42.298000,144.487333,10.290,1.50,SE OFF TOKACHI,6
251,2025-06-03T01:51:35.350000Z,39.750000,141.880667,75.880,2.90,NORTHERN IWATE PREF,39
252,2025-06-03T01:58:03.400000Z,42.321000,144.479167,15.730,1.80,SE OFF TOKACHI,24
253,2025-06-03T01:58:55.150000Z,42.330000,144.497667,8.590,1.40,SE OFF TOKACHI,7
254,2025-06-03T02:06:15.350000Z,39.318333,142.806833,26.230,1.60,E OFF IWATE PREF,32
255,2025-06-03T02:32:30.170000Z,39.718500,144.488167,32.700,1.20,FAR E OFF NORTH HONSHU,11
256,2025-06-03T03:03:12.540000Z,38.877500,142.440333,34.570,2.70,E OFF MIYAGI PREF,36
257,2025-06-03T03:25:56.820000Z,42.320333,144.479167,13.570,1.60,SE OFF TOKACHI,9
258,2025-06-03T03:38:53.360000Z,40.067167,142.205833,43.220,0.60,NE OFF IWATE PREF,16
259,2025-06-03T03:57:59.710000Z,40.241167,141.176333,9.810,0.20,NORTHERN IWATE PREF,14
260,2025-06-03T04:10:29.080000Z,39.976500,141.948833,46.980,0.40,NORTHERN IWATE PREF,19
